aggregate_industry,goods_vs_services,naics
agriculture_and_fishing,goods,1110
agriculture_and_fishing,goods,1111
agriculture_and_fishing,goods,1112
agriculture_and_fishing,goods,1113
agriculture_and_fishing,goods,1114
agriculture_and_fishing,goods,1115
agriculture_and_fishing,goods,1116
agriculture_and_fishing,goods,1117
agriculture_and_fishing,goods,1118
agriculture_and_fishing,goods,1119
agriculture_and_fishing,goods,1120
agriculture_and_fishing,goods,1121
agriculture_and_fishing,goods,1122
agriculture_and_fishing,goods,1123
agriculture_and_fishing,goods,1124
agriculture_and_fishing,goods,1125
agriculture_and_fishing,goods,1126
agriculture_and_fishing,goods,1127
agriculture_and_fishing,goods,1128
agriculture_and_fishing,goods,1129
agriculture_and_fishing,goods,1151
agriculture_and_fishing,goods,1152
agriculture_and_fishing,goods,1140
agriculture_and_fishing,goods,1141
agriculture_and_fishing,goods,1142
agriculture_and_fishing,goods,1143
agriculture_and_fishing,goods,1144
agriculture_and_fishing,goods,1145
agriculture_and_fishing,goods,1146
agriculture_and_fishing,goods,1147
agriculture_and_fishing,goods,1148
agriculture_and_fishing,goods,1149
"forestry,_logging_and_support_activities",goods,1130
"forestry,_logging_and_support_activities",goods,1131
"forestry,_logging_and_support_activities",goods,1132
"forestry,_logging_and_support_activities",goods,1133
"forestry,_logging_and_support_activities",goods,1134
"forestry,_logging_and_support_activities",goods,1135
"forestry,_logging_and_support_activities",goods,1136
"forestry,_logging_and_support_activities",goods,1137
"forestry,_logging_and_support_activities",goods,1138
"forestry,_logging_and_support_activities",goods,1139
"forestry,_logging_and_support_activities",goods,1153
mining_and_oil_and_gas_extraction,goods,2110
mining_and_oil_and_gas_extraction,goods,2111
mining_and_oil_and_gas_extraction,goods,2112
mining_and_oil_and_gas_extraction,goods,2113
mining_and_oil_and_gas_extraction,goods,2114
mining_and_oil_and_gas_extraction,goods,2115
mining_and_oil_and_gas_extraction,goods,2116
mining_and_oil_and_gas_extraction,goods,2117
mining_and_oil_and_gas_extraction,goods,2118
mining_and_oil_and_gas_extraction,goods,2119
mining_and_oil_and_gas_extraction,goods,2120
mining_and_oil_and_gas_extraction,goods,2121
mining_and_oil_and_gas_extraction,goods,2122
mining_and_oil_and_gas_extraction,goods,2123
mining_and_oil_and_gas_extraction,goods,2124
mining_and_oil_and_gas_extraction,goods,2125
mining_and_oil_and_gas_extraction,goods,2126
mining_and_oil_and_gas_extraction,goods,2127
mining_and_oil_and_gas_extraction,goods,2128
mining_and_oil_and_gas_extraction,goods,2129
mining_and_oil_and_gas_extraction,goods,2130
mining_and_oil_and_gas_extraction,goods,2131
mining_and_oil_and_gas_extraction,goods,2132
mining_and_oil_and_gas_extraction,goods,2133
mining_and_oil_and_gas_extraction,goods,2134
mining_and_oil_and_gas_extraction,goods,2135
mining_and_oil_and_gas_extraction,goods,2136
mining_and_oil_and_gas_extraction,goods,2137
mining_and_oil_and_gas_extraction,goods,2138
mining_and_oil_and_gas_extraction,goods,2139
utilities,goods,2200
utilities,goods,2201
utilities,goods,2202
utilities,goods,2203
utilities,goods,2204
utilities,goods,2205
utilities,goods,2206
utilities,goods,2207
utilities,goods,2208
utilities,goods,2209
utilities,goods,2210
utilities,goods,2211
utilities,goods,2212
utilities,goods,2213
utilities,goods,2214
utilities,goods,2215
utilities,goods,2216
utilities,goods,2217
utilities,goods,2218
utilities,goods,2219
utilities,goods,2220
utilities,goods,2221
utilities,goods,2222
utilities,goods,2223
utilities,goods,2224
utilities,goods,2225
utilities,goods,2226
utilities,goods,2227
utilities,goods,2228
utilities,goods,2229
utilities,goods,2230
utilities,goods,2231
utilities,goods,2232
utilities,goods,2233
utilities,goods,2234
utilities,goods,2235
utilities,goods,2236
utilities,goods,2237
utilities,goods,2238
utilities,goods,2239
utilities,goods,2240
utilities,goods,2241
utilities,goods,2242
utilities,goods,2243
utilities,goods,2244
utilities,goods,2245
utilities,goods,2246
utilities,goods,2247
utilities,goods,2248
utilities,goods,2249
utilities,goods,2250
utilities,goods,2251
utilities,goods,2252
utilities,goods,2253
utilities,goods,2254
utilities,goods,2255
utilities,goods,2256
utilities,goods,2257
utilities,goods,2258
utilities,goods,2259
utilities,goods,2260
utilities,goods,2261
utilities,goods,2262
utilities,goods,2263
utilities,goods,2264
utilities,goods,2265
utilities,goods,2266
utilities,goods,2267
utilities,goods,2268
utilities,goods,2269
utilities,goods,2270
utilities,goods,2271
utilities,goods,2272
utilities,goods,2273
utilities,goods,2274
utilities,goods,2275
utilities,goods,2276
utilities,goods,2277
utilities,goods,2278
utilities,goods,2279
utilities,goods,2280
utilities,goods,2281
utilities,goods,2282
utilities,goods,2283
utilities,goods,2284
utilities,goods,2285
utilities,goods,2286
utilities,goods,2287
utilities,goods,2288
utilities,goods,2289
utilities,goods,2290
utilities,goods,2291
utilities,goods,2292
utilities,goods,2293
utilities,goods,2294
utilities,goods,2295
utilities,goods,2296
utilities,goods,2297
utilities,goods,2298
utilities,goods,2299
manufacturing,goods,3110
manufacturing,goods,3111
manufacturing,goods,3112
manufacturing,goods,3113
manufacturing,goods,3114
manufacturing,goods,3115
manufacturing,goods,3116
manufacturing,goods,3117
manufacturing,goods,3118
manufacturing,goods,3119
manufacturing,goods,3120
manufacturing,goods,3121
manufacturing,goods,3122
manufacturing,goods,3123
manufacturing,goods,3124
manufacturing,goods,3125
manufacturing,goods,3126
manufacturing,goods,3127
manufacturing,goods,3128
manufacturing,goods,3129
manufacturing,goods,3210
manufacturing,goods,3211
manufacturing,goods,3212
manufacturing,goods,3213
manufacturing,goods,3214
manufacturing,goods,3215
manufacturing,goods,3216
manufacturing,goods,3217
manufacturing,goods,3218
manufacturing,goods,3219
manufacturing,goods,3220
manufacturing,goods,3221
manufacturing,goods,3222
manufacturing,goods,3223
manufacturing,goods,3224
manufacturing,goods,3225
manufacturing,goods,3226
manufacturing,goods,3227
manufacturing,goods,3228
manufacturing,goods,3229
manufacturing,goods,3310
manufacturing,goods,3311
manufacturing,goods,3312
manufacturing,goods,3313
manufacturing,goods,3314
manufacturing,goods,3315
manufacturing,goods,3316
manufacturing,goods,3317
manufacturing,goods,3318
manufacturing,goods,3319
manufacturing,goods,3320
manufacturing,goods,3321
manufacturing,goods,3322
manufacturing,goods,3323
manufacturing,goods,3324
manufacturing,goods,3325
manufacturing,goods,3326
manufacturing,goods,3327
manufacturing,goods,3328
