naics,aggregate_industry
1100,agriculture_and_fishing
1110,agriculture_and_fishing
1111,agriculture_and_fishing
1112,agriculture_and_fishing
1113,agriculture_and_fishing
1114,agriculture_and_fishing
1115,agriculture_and_fishing
1116,agriculture_and_fishing
1117,agriculture_and_fishing
1118,agriculture_and_fishing
1119,agriculture_and_fishing
1120,agriculture_and_fishing
1121,agriculture_and_fishing
1122,agriculture_and_fishing
1123,agriculture_and_fishing
1124,agriculture_and_fishing
1125,agriculture_and_fishing
1126,agriculture_and_fishing
1127,agriculture_and_fishing
1128,agriculture_and_fishing
1129,agriculture_and_fishing
1151,agriculture_and_fishing
1152,agriculture_and_fishing
1140,agriculture_and_fishing
1141,agriculture_and_fishing
1142,agriculture_and_fishing
1143,agriculture_and_fishing
1144,agriculture_and_fishing
1145,agriculture_and_fishing
1146,agriculture_and_fishing
1147,agriculture_and_fishing
1148,agriculture_and_fishing
1149,agriculture_and_fishing
1130,"forestry,_logging_and_support_activities"
1131,"forestry,_logging_and_support_activities"
1132,"forestry,_logging_and_support_activities"
1133,"forestry,_logging_and_support_activities"
1134,"forestry,_logging_and_support_activities"
1135,"forestry,_logging_and_support_activities"
1136,"forestry,_logging_and_support_activities"
1137,"forestry,_logging_and_support_activities"
1138,"forestry,_logging_and_support_activities"
1139,"forestry,_logging_and_support_activities"
1153,"forestry,_logging_and_support_activities"
2100,mining_and_oil_and_gas_extraction
2110,mining_and_oil_and_gas_extraction
2111,mining_and_oil_and_gas_extraction
2112,mining_and_oil_and_gas_extraction
2113,mining_and_oil_and_gas_extraction
2114,mining_and_oil_and_gas_extraction
2115,mining_and_oil_and_gas_extraction
2116,mining_and_oil_and_gas_extraction
2117,mining_and_oil_and_gas_extraction
2118,mining_and_oil_and_gas_extraction
2119,mining_and_oil_and_gas_extraction
2120,mining_and_oil_and_gas_extraction
2121,mining_and_oil_and_gas_extraction
2122,mining_and_oil_and_gas_extraction
2123,mining_and_oil_and_gas_extraction
2124,mining_and_oil_and_gas_extraction
2125,mining_and_oil_and_gas_extraction
2126,mining_and_oil_and_gas_extraction
2127,mining_and_oil_and_gas_extraction
2128,mining_and_oil_and_gas_extraction
2129,mining_and_oil_and_gas_extraction
2130,mining_and_oil_and_gas_extraction
2131,mining_and_oil_and_gas_extraction
2132,mining_and_oil_and_gas_extraction
2133,mining_and_oil_and_gas_extraction
2134,mining_and_oil_and_gas_extraction
2135,mining_and_oil_and_gas_extraction
2136,mining_and_oil_and_gas_extraction
2137,mining_and_oil_and_gas_extraction
2138,mining_and_oil_and_gas_extraction
2139,mining_and_oil_and_gas_extraction
2200,utilities
2201,utilities
2202,utilities
2203,utilities
2204,utilities
2205,utilities
2206,utilities
2207,utilities
2208,utilities
2209,utilities
2210,utilities
2211,utilities
2212,utilities
2213,utilities
2214,utilities
2215,utilities
2216,utilities
2217,utilities
2218,utilities
2219,utilities
2220,utilities
2221,utilities
2222,utilities
2223,utilities
2224,utilities
2225,utilities
2226,utilities
2227,utilities
2228,utilities
2229,utilities
2230,utilities
2231,utilities
2232,utilities
2233,utilities
2234,utilities
2235,utilities
2236,utilities
2237,utilities
2238,utilities
2239,utilities
2240,utilities
2241,utilities
2242,utilities
2243,utilities
2244,utilities
2245,utilities
2246,utilities
2247,utilities
2248,utilities
2249,utilities
2250,utilities
2251,utilities
2252,utilities
2253,utilities
2254,utilities
2255,utilities
2256,utilities
2257,utilities
2258,utilities
2259,utilities
2260,utilities
2261,utilities
2262,utilities
2263,utilities
2264,utilities
2265,utilities
2266,utilities
2267,utilities
2268,utilities
2269,utilities
2270,utilities
2271,utilities
2272,utilities
2273,utilities
2274,utilities
2275,utilities
2276,utilities
2277,utilities
2278,utilities
2279,utilities
2280,utilities
2281,utilities
2282,utilities
2283,utilities
2284,utilities
2285,utilities
2286,utilities
2287,utilities
2288,utilities
2289,utilities
2290,utilities
2291,utilities
2292,utilities
2293,utilities
2294,utilities
2295,utilities
2296,utilities
2297,utilities
2298,utilities
2299,utilities
3110,manufacturing
3111,manufacturing
3112,manufacturing
3113,manufacturing
3114,manufacturing
3115,manufacturing
3116,manufacturing
3117,manufacturing
3118,manufacturing
3119,manufacturing
3120,manufacturing
3121,manufacturing
3122,manufacturing
3123,manufacturing
3124,manufacturing
3125,manufacturing
3126,manufacturing
3127,manufacturing
3128,manufacturing
3129,manufacturing
3210,manufacturing
3211,manufacturing
3212,manufacturing
3213,manufacturing
3214,manufacturing
3215,manufacturing
3216,manufacturing
3217,manufacturing
3218,manufacturing
3219,manufacturing
3220,manufacturing
3221,manufacturing
3222,manufacturing
3223,manufacturing
3224,manufacturing
3225,manufacturing
3226,manufacturing
3227,manufacturing
3228,manufacturing
3229,manufacturing
3310,manufacturing
3311,manufacturing
3312,manufacturing
