syear,aggregate_industry,average_wage
2023,Accommodation And Food Services,21.93
2023,Agriculture And Fishing,22.96
2023,"Business, Building And Other Support Services",27.29
2023,Construction,36.98
2023,Educational Services,38.91
2023,"Finance, Insurance And Real Estate",40.67
2023,"Forestry, Logging And Support Activities",37.7
2023,Health Care And Social Assistance,34.35
2023,"Information, Culture And Recreation",34.2
2023,Manufacturing,35.08
2023,Mining And Oil And Gas Extraction,47.8
2023,"Professional, Scientific And Technical Services",46.39
2023,Public Administration,42.51
2023,"Repair, Personal And Non-Profit Services",30.34
2023,Retail Trade,24.76
2023,"Total, All Industries",35
2023,Transportation And Warehousing,36.25
2023,Utilities,44.18
2023,Wholesale Trade,38.14
